Site Name,Site Code,Ref Station,Site Server Name,Sat. Sys.,Latitude,Longitude,Height,Use Physical Coordinates,Physical Latitude,Physical Longitude,Physical Height,Reciever Type,Antenna Type,Total Vertical Height,Cluster Name,Master in Cell,Aux in Cell
GSMA,GSMA,120,Global Sites,G/R/E/C/J,"37° 48' 40.67256"" S","175° 46' 28.74494"" E",101.848,Yes,"37° 48' 40.64227"" S","175° 46' 28.74819"" E",101.8386,SEPT POLARX5,AR10,0,Auckland/Waikato,GSMAfixed,GSHUfixed; GSMDfixed; GSOHfixed; GSTUfixed; GSPP
GSCA,GSCA,48,Global Sites,G/R/E/C/J,"37° 53' 43.41621"" S","175° 28' 09.00863"" E",100.245,Yes,"37° 53' 43.38529"" S","175° 28' 09.01148"" E",100.1946,TPS NET-G5,TPSG5_A1        NONE,0,Auckland/Waikato,GSCAfixed,AUCKfixed; CORMfixed; GSAAfixed; GSDRfixed; GSHT
GSTU,GSTU,119,Global Sites,G/R/E/C/J,"38° 00' 31.45227"" S","175° 19' 31.33721"" E",89.7265,Yes,"38° 00' 31.41887"" S","175° 19' 31.33787"" E",89.6683,SEPT POLARX5,LEIAR10         NONE,0,Auckland/Waikato,GSTUfixed,
GSPU,GSPU,3,Global Sites,G/R/-/-/-,"38° 03' 13.05735"" S","175° 46' 40.51011"" E",197.0913,Yes,"38° 03' 13.02661"" S","175° 46' 40.51261"" E",197.0876,LEICA GMX902GG,LEIAS10         NONE,0,Auckland/Waikato,GSPUfixed; GSOHfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
GSRO,GSRO,74,Global Sites,G/R/-/-/-,"38° 08' 07.66528"" S","176° 15' 17.51200"" E",335.178,Yes,"38° 08' 07.63769"" S","176° 15' 17.51630"" E",335.1359,LEICA GMX902GG,LEIAS10         NONE,0,Auckland/Waikato,GSROfixed,AUCKfixed; CORMfixed; GSAAfixed; GSCAfixed; GSDR
GSNP,GSNP,42,Global Sites,G/R/E/C/J,"39° 02' 27.62659"" S","174° 09' 55.49352"" E",76.2569,No,"39° 02' 27.62000"" S","174° 09' 55.50000"" E",76,SEPT POLARX5,LEIAR10         NONE,0,,,
GSNA,GSNA,125,Global Sites,G/R/E/C/J,"39° 29' 00.05665"" S","176° 53' 49.49636"" E",30.891,Yes,"39° 29' 00.03713"" S","176° 53' 49.49152"" E",30.8563,SEPT POLARX5,LEIAR10         NONE,0,,,
GSHW,GSHW,26,Global Sites,G/R/-/-/-,"39° 34' 50.04717"" S","174° 16' 51.76014"" E",126.397,Yes,"39° 34' 50.01344"" S","174° 16' 51.75781"" E",126.3772,LEICA GMX902GG,LEIAX1202GG     NONE,0,,,
GSWU,GSWU,43,Global Sites,G/R/E/C/J,"39° 55' 48.09356"" S","175° 03' 17.24379"" E",29.1908,Yes,"39° 55' 48.06116"" S","175° 03' 17.23929"" E",29.1748,SEPT POLARX5,LEIAS10         NONE,0,,,
GSPM,GSPM,22,Global Sites,G/R/-/-/-,"40° 21' 34.15161"" S","175° 36' 32.58013"" E",51.582,No,"40° 21' 34.12318"" S","175° 36' 32.56627"" E",51.5804,TRIMBLE NETR5,TRM55971.00     NONE,0,,,
GSPN,GSPN,79,Global Sites,G/R/E/C/J,"40° 23' 16.86178"" S","175° 37' 07.25662"" E",73.538,Yes,"40° 23' 16.83342"" S","175° 37' 07.24192"" E",73.5229,LEICA GR30,LEIAS10         NONE,0,,,
GSWA,GSWA,113,Global Sites,G/R/E/C/J,"40° 52' 32.72002"" S","175° 03' 56.57652"" E",48.498,Yes,"40° 52' 32.68993"" S","175° 03' 56.55978"" E",48.4742,SEPT POLARX5,LEIAS10         NONE,0,Wellington/Nelson/Marlborough,GSWAfixed,
GSUH,GSUH,111,Global Sites,G/R/E/C/J,"41° 07' 25.29159"" S","175° 04' 28.57398"" E",86.2733,Yes,"41° 07' 25.26188"" S","175° 04' 28.55158"" E",86.2464,SEPT POLARX5,AR10,0,,,
GSP2,GSP2,109,Global Sites,G/R/E/C/J,"41° 10' 03.63943"" S","174° 49' 41.80961"" E",44.0859,Yes,"41° 10' 03.60732"" S","174° 49' 41.79025"" E",44.0819,LEICA GR30,LEIAR10         NONE,0,Wellington/Nelson/Marlborough,,
GSPC,GSPC,133,Global Sites,G/R/E/C/J,"41° 17' 22.98000"" S","174° 00' 21.79980"" E",30.84,No,"36° 40' 21.00000"" S","172° 33' 10.00000"" E",55.1675,SEPT POLARX5,LEIAR10         NONE,0,,,
GSNE,GSNE,122,Global Sites,G/R/E/C/J,"41° 19' 19.89700"" S","173° 12' 50.59528"" E",30.6101,Yes,"41° 19' 19.86681"" S","173° 12' 50.59670"" E",30.5967,TRIMBLE NETR9,TRM57971.00     NONE,0.0001,Wellington/Nelson/Marlborough,GSNEfixed,
GSBN,GSBN,107,Global Sites,G/R/E/C/J,"41° 30' 39.62984"" S","173° 57' 32.70694"" E",30.236,Yes,"41° 30' 39.59603"" S","173° 57' 32.69777"" E",30.2108,LEICA GR30,AR10,0,Wellington/Nelson/Marlborough,GSBNfixed,
GSCT,GSCT,59,Global Sites,G/R/E/C/J,"42° 48' 41.19144"" S","173° 16' 26.63030"" E",80.9258,Yes,"42° 48' 41.16741"" S","173° 16' 26.59024"" E",80.8988,LEICA GRX1200+GNSS,LEIAS10         NONE,0,Wellington/Nelson/Marlborough; Canterbury/Southl,GSCTfixed; GSCTfixedS,AVLNfixed; BTHLfixed; CMBLfixed; GSBNfixed; GSNE
GSAM,GSAM,52,Global Sites,G/R/E/C/-,"43° 09' 06.46976"" S","172° 43' 45.04304"" E",66.634,Yes,"43° 09' 06.44754"" S","172° 43' 45.00737"" E",66.6037,LEICA GR30,LEIAR10         NONE,0,Canterbury/Southland,GSAMfixed,BLUFfixed; DUNDfixed; GSABfixed; GSCCfixed; GSGR
GSOX,GSOX,40,Global Sites,G/R/E/C/-,"43° 17' 55.05300"" S","172° 09' 57.83066"" E",271.951,Yes,"43° 17' 55.03027"" S","172° 09' 57.79672"" E",271.8915,LEICA GR30,LEIAR10         NONE,0,Canterbury/Southland,GSOXfixed,BLUFfixed; DUNDfixed; GSABfixed; GSAMfixed; GSCC
GSKA,GSKA,110,Global Sites,G/R/E/C/J,"43° 20' 44.39604"" S","172° 40' 00.00133"" E",21.767,Yes,"43° 20' 44.37354"" S","172° 39' 59.96472"" E",21.7558,SEPT POLARX5,AR10,0,Canterbury/Southland,,GSBFfixed; GSCMfixed
GSBF,GSBF,131,Global Sites,G/R/E/C/J,"43° 27' 00.65864"" S","172° 38' 03.64615"" E",28.9454,Yes,"43° 27' 00.63537"" S","172° 38' 03.60850"" E",28.9161,SEPT POLARX5,LEIAR10         NONE,0,Canterbury/Southland,GSBFfixed,GSCMfixed
GSDA,GSDA,117,Global Sites,G/R/E/C/J,"43° 29' 22.66732"" S","172° 08' 02.33052"" E",212.3946,Yes,"43° 29' 22.64383"" S","172° 08' 02.29460"" E",212.3887,SEPT POLARX5,LEIAR10         NONE,0,Canterbury/Southland,,GSBFfixed; GSCMfixed
